タイトル,URL,入力項目数,問題
"株式会社ミルシステム-業務内容","https://www.millsys.jp/mail/",2,"入力項目が少ない(2項目のみ); 名前・メッセージ未入力"
"盛岡事業所 | 株式会社ぴーぷる|システム開発・It技術者派遣 ...","https://www.people.co.jp/contact",2,"入力項目が少ない(2項目のみ); 名前・メッセージ未入力"
"株式会社トリココシステム 福島県郡山市のWebシステム開発 ...","https://toricoco.com/#home_inquiry",6,"messageが6回重複入力; 名前・メール未入力"
"アプリ・システム開発 | ホームページ制作・福島県郡山市のweb ...","https://www.multi.ne.jp/contact",10,"subjectが6回重複入力"
"Itで広がる可能性 株式会社アットシス","https://at-sys.co.jp/question.html",1,"入力項目が少ない(1項目のみ); 名前・メッセージ未入力"
"株式会社マクロシステム - 茨城県水戸市","https://macrosystem.co.jp/contact.html",2,"入力項目が少ない(2項目のみ)"
"Shimotechnology 土浦市 ホームページ制作 システム開発 ...","https://www.shimotechnology.com/",1,"入力項目が少ない(1項目のみ); 名前・メッセージ未入力"
"栃木県足利市でシステム開発、コンサルティング、ホーム ...","https://sens.rash.jp/inquiry.html",3,"名前・メッセージ未入力"
"会社概要-会社案内|株式会社ビッドシステム","https://www.bid.co.jp/mailform.html",2,"入力項目が少ない(2項目のみ); 名前・メール・メッセージ未入力"
"会社概要 | システム開発 アプリケーション開発 技術者派遣 ...","https://www.cioweb.co.jp/contact/",6,"telが3回重複入力"
"有限会社川口システム開発(埼玉県さいたま市南区) 概要","https://data-link-plus.com/jp/inquiry",4,"messageが3回重複入力"
"システム開発・設計・インフラ構築 | 埼玉情報サービス株式会社","https://www.sisk.co.jp/contact/",2,"入力項目が少ない(2項目のみ); 名前・メッセージ未入力"
"会社概要とアクセスマップ|うれしいシステム。JCT","https://www.jctechno.co.jp/contact/index.html",2,"入力項目が少ない(2項目のみ); 名前・メッセージ未入力"
"株式会社システムアイ|2次元・2.5次元cad・Camソフトの開発販売","https://www.system-i.co.jp/app/contact/",10,"subjectが5回重複入力; companyが3回重複入力; 名前・メッセージ未入力"
