タイプ,タイトル,URL,入力項目数,問題
入力不可,"旭川市のシステム開発会社を紹介!自社に合った企業が ...","https://swooo.net/dev/asahikawa-system-development/#1-2",0,"❌ 入力できる項目なし"
入力不可,"ミュートネット(函館・七飯) - ホームページ制作・システム ...","https://docs.google.com/forms/d/e/1FAIpQLSf5CwW69cs_v5KSEEBmE_kgph7jkT3vYJs_o86F43FxUfNhsw/viewform",0,"❌ 入力できる項目なし"
入力不可,"株式会社アプリシステムズ - 北海道函館市のit企業","https://www.aplsys.co.jp/query.html",0,"❌ 入力できる項目なし"
不完全,"システム開発|株式会社グローバル・エブリット","https://www.everyit.co.jp/product/#tag6",4,"⚠️ 名前未入力"
入力不可,"システム開発 | 東洋株式会社 - 札幌、帯広、釧路、旭川","https://www.toyo-grp.co.jp/contact/",0,"❌ 入力できる項目なし"
入力不可,"システム開発・ホームページ制作 | アートシステム株式会社 ...","https://www.art21.co.jp/contact/index.html",0,"❌ 入力できる項目なし"
入力不可,"システム開発 | 北見情報技術株式会社 Kit はあなたの会社のit ...","https://k-it.jp/contact/",0,"❌ 入力できる項目なし"
不完全,"会社情報 - 株式会社システムサプライ","https://www.system-supply.net/contact",6,"⚠️ 名前未入力"
不完全,"前例のないシステム開発 - Okhotsk Valley オホーツクバレー","https://okhotsk-valley.com/contact/",5,"⚠️ 会社名未入力"
不完全,"Cumam System","https://cumam.co.jp/#3",4,"⚠️ 会社名未入力"
入力不可,"株式会社ネオシステム","https://www.neosystem.co.jp/contact/",0,"❌ 入力できる項目なし"
不完全,"会社概要・事業所紹介 - 株式会社 Npシステム開発","https://www.npsystem.co.jp/contact/",4,"⚠️ メッセージ未入力"
入力不可,"概要・沿革 | I・Tecソリューションズ","https://www.itecsol.jp/contact/",0,"❌ 入力できる項目なし"
不完全,"有限会社tnnシステムズ Webサイト","https://tnnsys.co.jp/contact.htm",3,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
不完全,"株式会社ミルシステム-業務内容","https://www.millsys.jp/mail/",2,"⚠️ 名前未入力; ⚠️ メッセージ未入力; ⚠️ 会社名未入力; ⚠️ 入力項目が少ない (2項目のみ)"
不完全,"株式会社リーディングシステム","https://www.leadingsystem.co.jp/contact/",3,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
不完全,"株式会社アイティコワーク","https://www.itcowork.co.jp/contact",4,"⚠️ 名前未入力"
不完全,"弘前市でシステム開発・コーディング・Seo対策なら - 株式会社 ...","https://coms18.co.jp/wp/contact/",4,"⚠️ 会社名未入力"
不完全,"クラリスアート - 岩手県盛岡市でシステム開発を行うit企業です。","https://www.clariceart.co.jp/contact/default",3,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
不完全,"盛岡事業所 | 株式会社ぴーぷる|システム開発・It技術者派遣 ...","https://www.people.co.jp/contact",2,"⚠️ 名前未入力; ⚠️ メッセージ未入力; ⚠️ 会社名未入力; ⚠️ 入力項目が少ない (2項目のみ)"
入力不可,"一関市のソフトウェア開発会社:ソフトスタジオ","https://soft-studio.jp/contact.html",0,"❌ 入力できる項目なし"
不完全,"岩手を拠点にit技術で企業の基幹業務を支えるプロ 菅原達哉 ...","https://mbp-japan.com/inquiry/",3,"⚠️ 名前未入力; ⚠️ 会社名未入力"
不完全,"株式会社トレック - 仙台市のWebシステム/業務用システム開発 ...","https://trek.co.jp/contact/",6,"⚠️ 名前未入力"
入力不可,"ソフトウエア・システム開発 - 株式会社シンタ 大館作業 ...","https://hw-jobs.careermine.jp/view/05030-03759551",0,"❌ 入力できる項目なし"
不完全,"ソフトウエア・システム開発|株式会社シンタ大館作業 ...","https://www.job-net.jp/contact",2,"⚠️ 名前未入力; ⚠️ 会社名未入力; ⚠️ 入力項目が少ない (2項目のみ)"
入力不可,"株式会社フェイバーエンジニアリング","https://favoreng.com/contact/",0,"❌ 入力できる項目なし"
不完全,"システム開発 | アーリープロジェクト 鶴岡市","https://early-project.com/contact/",3,"⚠️ 会社名未入力"
入力不可,"鶴岡市のプリント基板設計~組立、システム開発の企業","https://link-pcb.co.jp/contact.html",0,"❌ 入力できる項目なし"
不完全,"Avits - アビッツ株式会社","https://www.avits.co.jp/contact.php",4,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
入力不可,"会社概要 - 株式会社日情システムソリューションズ","https://www.nichijosys.com/privacy-policy/",0,"❌ 入力できる項目なし"
入力不可,"企業概要 | データシステム米沢 - Dsy","https://dsy.jp/contact",0,"❌ 入力できる項目なし"
不完全,"株式会社エヌフォーエス | 山形県米沢市のシステム開発会社","https://n4s.jp/contact/",4,"⚠️ 会社名未入力"
不完全,"株式会社データシステム米沢のitエンジニア(システム開発・Se ...","https://partner.chiiki-zukan.com/yamagata/contact-us/",3,"⚠️ 名前未入力; ⚠️ 会社名未入力"
不完全,"【米沢市】システム開発/Java・C言語/Uターン歓迎 | BREXA ...","https://engineering-technology.brexa.com/casual-entry/?post_id=5500",3,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
入力不可,"Fcs|福島コンピューターシステム|福島県郡山市|創る未来は ...","https://www.fcs.co.jp/inquiry/",0,"❌ 入力できる項目なし"
不完全,"株式会社コンピューターシステム研究所 Cst|福島県郡山市の ...","https://www.cst-web.co.jp/inquiry/inquiry.html",4,"⚠️ 名前未入力; ⚠️ 会社名未入力"
入力不可,"福島・郡山のシステム開発・デジタル化支援|エーアイティ研究所","https://www.ait-labo.com/contact/",0,"❌ 入力できる項目なし"
不完全,"株式会社トリココシステム 福島県郡山市のWebシステム開発 ...","https://toricoco.com/#home_inquiry",6,"⚠️ 名前未入力; ⚠️ メール未入力; ⚠️ 会社名未入力"
不完全,"アプリ・システム開発 | ホームページ制作・福島県郡山市のweb ...","https://www.multi.ne.jp/contact",10,"⚠️ 名前未入力"
不完全,"株式会社 協創|システム開発|福島県いわき市","https://kyoso.biz/contact/",4,"⚠️ 会社名未入力"
不完全,"株式会社システムフォワード|クラウド対応システム開発","https://www.sysforward.co.jp/contact/",4,"⚠️ 名前未入力"
入力不可,"バックス情報システム株式会社|福島県いわき市","https://www.bacs-j.co.jp/contact_privacycheck/",0,"❌ 入力できる項目なし"
入力不可,"株式会社ユードム | 茨城県水戸市と東京を拠点とするシステム ...","https://www.udom.co.jp/contact/index.html",0,"❌ 入力できる項目なし"
不完全,"Itで広がる可能性 株式会社アットシス","https://at-sys.co.jp/question.html",1,"⚠️ 名前未入力; ⚠️ メッセージ未入力; ⚠️ 会社名未入力; ⚠️ 入力項目が少ない (1項目のみ)"
不完全,"株式会社ユートピア | システム開発、Vr(バーチャルリアリティ)","https://you-topia.co.jp/contact",3,"⚠️ 会社名未入力"
不完全,"株式会社マクロシステム - 茨城県水戸市","https://macrosystem.co.jp/contact.html",2,"⚠️ メッセージ未入力; ⚠️ 会社名未入力; ⚠️ 入力項目が少ない (2項目のみ)"
入力不可,"株式会社つくばシステムデザイン Tsd","https://tsysd.jp/tsd_info.html",0,"❌ 入力できる項目なし"
入力不可,"株式会社シンプルウェイ | システム開発・ウェブサイト制作","https://www.simple-way.co.jp/contact/",0,"❌ 入力できる項目なし"
不完全,"Webシステム開発・システム構築|茨城県つくば市のつくば ...","https://www.tsukuba.co.jp/email1.html",5,"⚠️ メッセージ未入力"
不完全,"株式会社エムシー|ソフトウェア設計・開発、システム ...","https://www.mc-inc.co.jp/contact.html",3,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
不完全,"システム開発 - Dx推進をサポートします。茨城県古河市の ...","https://www.sanoh-c.com/service/dx/#vk-htags-0691e8dc-333f-4711-83a8-d4265332158d",3,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
入力不可,"システム開発のコガソフトウェア","https://www.kogasoftware.com/contact/",0,"❌ 入力できる項目なし"
不完全,"株式会社Sophia - ソフィア - 茨城県土浦市のシステム制作 ...","https://www.sophia-sys.co.jp/?page_id=9",4,"⚠️ 会社名未入力"
入力不可,"代表あいさつ|常磐システムエンジニアリング株式会社|茨城 ...","https://www.tokiwa-sys.co.jp/contact/",0,"❌ 入力できる項目なし"
不完全,"Shimotechnology 土浦市 ホームページ制作 システム開発 ...","https://www.shimotechnology.com/",1,"⚠️ 名前未入力; ⚠️ メッセージ未入力; ⚠️ 会社名未入力; ⚠️ 入力項目が少ない (1項目のみ)"
不完全,"栃木県宇都宮市のweb系システム開発会社|株式会社 アルフォ","https://tech.alfo.jp/contact/",4,"⚠️ 会社名未入力"
不完全,"株式会社オーエムエンジニアリング|機械設計、システム開発 ...","https://www.omeng.jp/contact",5,"⚠️ 名前未入力"
入力不可,"小山コンピュータサービス - システム開発のことなら栃木県 ...","https://www.sabg.co.jp/ocs/?page_id=44",0,"❌ 入力できる項目なし"
不完全,"栃木県足利市でシステム開発、コンサルティング、ホーム ...","https://sens.rash.jp/inquiry.html",3,"⚠️ 名前未入力; ⚠️ メッセージ未入力"
不完全,"株式会社ダニエル・ソフト | 製造・物流・流通分野のシステム ...","https://www.daniel-soft.com/en/lp#contact",4,"⚠️ 会社名未入力"
入力不可,"株式会社モザイク|システム開発","https://www.mosaic-web.net/contact.html",0,"❌ 入力できる項目なし"
入力不可,"株式会社城西システム|前橋市 アプリケーション開発会社","https://www.josai.co.jp/contact.html",0,"❌ 入力できる項目なし"
不完全,"群馬県前橋市 システムサポート | Home","https://ss-ss.co.jp/contact",4,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
不完全,"高崎共同計算センター|システム開発や技術支援 ...","https://www.tkcc.net/form/#cont1",5,"⚠️ メッセージ未入力"
入力不可,"群馬県ソフト開発のエムアイシステム","https://mi-system.com/contact.html",0,"❌ 入力できる項目なし"
入力不可,"株式会社 Itquest","https://syskai.jp/contact.html",0,"❌ 入力できる項目なし"
入力不可,"株式会社opener | 群馬県伊勢崎市のシステム開発会社","https://www.opener.co.jp/#",0,"❌ 入力できる項目なし"
不完全,"会社概要-会社案内|株式会社ビッドシステム","https://www.bid.co.jp/mailform.html",2,"⚠️ 名前未入力; ⚠️ メール未入力; ⚠️ メッセージ未入力; ⚠️ 会社名未入力; ⚠️ 入力項目が少ない (2項目のみ)"
入力不可,"会社概要|システム開発ならost 株式会社オー・エス・ティ","https://www.ost.jp/pub/gaiyo.html#",0,"❌ 入力できる項目なし"
入力不可,"会社概要 | 日東システムテクノロジーズ","https://www.nittosys.co.jp/p0701contact.php",0,"❌ 入力できる項目なし"
不完全,"会社概要 | システム開発 アプリケーション開発 技術者派遣 ...","https://www.cioweb.co.jp/contact/",6,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
不完全,"株式会社キテル","https://kitel.co.jp/index_contact.php",3,"⚠️ メッセージ未入力; ⚠️ 会社名未入力"
入力不可,"株式会社デザイン・ワークス - 埼玉川口のweb制作&システム ...","https://dswks.jp/#contact",0,"❌ 入力できる項目なし"
入力不可,"川口市給水装置工事管理システム開発業務委託に係る公募型 ...","https://www.water-kawaguchi.jp/cgi-bin/contacts/G020010",0,"❌ 入力できる項目なし"
不完全,"About - 株式会社PIXSystems","https://pixsystems.co.jp/contact/",4,"⚠️ 会社名未入力"
入力不可,"会社案内|バス業界向けシステム開発|工房","https://www.khobho.co.jp/support/",0,"❌ 入力できる項目なし"
入力不可,"企業情報|株式会社三和ソリューション","https://www.swsk.co.jp/contact.html",0,"❌ 入力できる項目なし"
不完全,"webシステム開発の有限会社ブイアイシーコンピュータサポート ...","https://www.viccom.co.jp/form.php",4,"⚠️ 名前未入力"
入力不可,"company","https://anysystem.co.jp/company/contact.html",0,"❌ 入力できる項目なし"
入力不可,"有限会社川口システム開発 (埼玉県さいたま市南区)の企業詳細 ...","https://form.run/@houjin",0,"❌ 入力できる項目なし"
入力不可,"株式会社エイチ・エス・システム","https://www.hss-04.com/employ/guide.php?id=contact",0,"❌ 入力できる項目なし"
不完全,"ホーム - 葉月システム株式会社","https://www.hazukisystem.com/contacts",4,"⚠️ 名前未入力; ⚠️ 会社名未入力"
不完全,"有限会社川口システム開発(埼玉県さいたま市南区) 概要","https://data-link-plus.com/jp/inquiry",4,"⚠️ 名前未入力; ⚠️ 会社名未入力"
不完全,"有限会社川口システム開発の法人情報。登記記録の閉鎖等され ...","https://kaishalist.com/contact",2,"⚠️ 名前未入力; ⚠️ 会社名未入力; ⚠️ 入力項目が少ない (2項目のみ)"
入力不可,"株式会社リースシステム企画","https://lease-system.co.jp/contact/form.html",0,"❌ 入力できる項目なし"
入力不可,"Access システム開発 名古屋 システムステージ 会社概要","https://www.systemstage.co.jp/contact.php",0,"❌ 入力できる項目なし"
