会社名,URL,入力項目数,名前,メール,メッセージ,会社名入力,電話
"KURO HOLDINGS株式会社","https://kuroholdgs.jp/contact",8,○,○,○,○,○
"Tety株式会社","https://tety.co.jp/#contact",6,○,○,○,○,×
"株式会社GASY","https://gasy.jp/contact/",7,○,○,○,○,○
"株式会社ウェブリカ","https://webrica.jp/contact/",5,○,○,○,○,×
"ニューエイジ・ディー・シー株式会社","https://newagedc.net/contact.html",4,×,○,○,×,×
"トビラマーケティング","https://tour-travelworld.com/contact/",5,○,○,○,○,×
"株式会社seica","https://seica-growth.co.jp/#contact",5,○,○,○,○,○
"株式会社アンソリュート","https://unsolute.co.jp/contact",5,○,○,○,×,×
"株式会社SGP","https://sgp-net.com/contact/",5,○,○,○,○,○
"メディアクロス株式会社","https://medi-cro.jp/contact/",12,○,○,○,○,○
"合同会社ロケットボーイズ","https://rocket-boys.co.jp/contact/",8,○,○,○,○,○
"Plastant株式会社","https://plastant.com/contact/",5,○,○,○,○,○
"リードプラス株式会社","https://www.leadplus.co.jp/inquiry",11,×,○,○,○,○
"NERD株式会社","https://nerd.co.jp/contact",6,○,○,○,○,○
"snuggle株式会社","https://snuggle-inc.co.jp/contact/",4,○,○,○,×,×
"snuggle株式会社","https://snuggle-inc.co.jp/contact/",4,○,○,○,×,×
"株式会社ママクリエイターラボ","https://mama-creator.com/business#contact",4,○,○,○,○,×
"株式会社toU","https://tooou.co.jp/contact",8,○,○,○,○,○
"株式会社コロンバスプロジェクト","https://www.columbusproject.co.jp/contact/",6,○,○,○,○,○
"株式会社TONOSAMA","https://tono-sama.net/contact/",7,○,○,○,○,○
"株式会社 オーエス","https://oscorporation.com/inquiry/contact/",12,○,○,○,○,×
"株式会社バースタイプ","https://verse-type.co.jp/contact/",6,○,○,○,○,○
"株式会社AppleTea","https://appletea.tokyo/#contact",3,○,○,○,×,×
"株式会社CCG C.REP","https://ccg-crep.jp/contact",7,○,○,○,○,○
