会社名,URL,結果,入力項目数,スキップ項目数,入力詳細,エラー
ダッシュボード株式会社,https://dash-b.co.jp/contact/,成功,0,0,,スキップ(処理済み)
株式会社レッツアイ,https://lets-marke.com/contact,成功,0,0,,スキップ(処理済み)
合同会社3Bros.works,https://3brosworks.com/contact/,成功,0,0,,スキップ(処理済み)
株式会社Hew One's Way,https://how-inc.co.jp/contact/,成功,0,0,,スキップ(処理済み)
株式会社アーバンプロジェクト,https://www.urban-project.jp/contact/,成功,0,0,,
CURVA株式会社,https://curva-web.com/contact/,成功,5,0,,
株式会社D-ing,https://d-inginc.com/contact,成功,5,6,,
特定非営利活動法人リテル,https://www.nporetell.or.jp/contact,成功,4,0,,
株式会社ENAS,https://enas.jp/inquiry/,成功,5,0,,
KURO HOLDINGS株式会社,https://kuroholdgs.jp/contact,成功,8,20,,
ディーエムソリューションズ株式会社,https://www.dm-s.co.jp/contact/,失敗,0,0,,iframe内フォーム
BPOテクノロジー株式会社,https://fujiko-san.com/contact3/,成功,10,0,,
TMS Partners株式会社,https://tms-partners.com/contact?refererID=2322,成功,5,0,,
Tety株式会社,https://tety.co.jp/#contact,成功,6,0,,
株式会社GASY,https://gasy.jp/contact/,成功,7,0,,
株式会社STORY,https://story-corp.jp/contact/,成功,5,1,,
株式会社ウェブリカ,https://webrica.jp/contact/,成功,5,0,,
ニューエイジ・ディー・シー株式会社,https://newagedc.net/contact.html,成功,4,0,,
株式会社トラックス,https://www.tlucks.co.jp/contact/,成功,7,0,,
トビラマーケティング,https://tour-travelworld.com/contact/,成功,5,1,,
株式会社MomentumYouth,https://momentum-youth.co.jp/contact,成功,8,0,,
株式会社seica,https://seica-growth.co.jp/#contact,成功,5,0,,
株式会社アンソリュート,https://unsolute.co.jp/contact,成功,5,0,,
LIVE THE CREATIVE 株式会社,https://livethecreative.co.jp/contact/,成功,5,1,,
