会社名,URL,結果,入力項目数,スキップ項目数,入力詳細,エラー

株式会社ロットネスト,https://lottnest.com/contact/,失敗,0,0,"",iframeフォーム（非対応）
株式会社フォーティファイヴ,https://www.0450.jp/contact,成功,0,40,"",
株式会社LINPS,https://linps.co.jp/contact,成功,11,33,"必須会社名:あなたのおかげ | 必須ご担当者様名:森田憲治 | 必須ご担当者様名:森田憲治 | 必須ご担当者様名(ふりがな):もりたけんじ | 必須ご担当者様名(ふりがな):もりたけんじ | 必須メールアドレス:info@anatano-okage.com | 必須メールアドレスの確認:info@anatano-okage.com | 必須電話番号:09091749043 | 必須お問い合わせ種類:開発依頼 | 必須お問い合わせ内容:問い合わせ | 同意した:checked",
株式会社エフェクトプロ,https://effect-pro.co.jp/contact,失敗,0,0,"",iframeフォーム（非対応）
株式会社ママクリエイターラボ,https://mama-creator.com/business#contact,成功,4,53,"お名前*:森田憲治 | 会社名:あなたのおかげ | メールアドレス*:info@anatano-okage.com | メッセージ:問い合わせ",
オープンキッズベース株式会社,https://www.openkidsbase.co.jp/contact/,失敗,9,1,"",送信後にエラーまたは画面遷移なし
株式会社グローバルマーケティング,https://gl-marketing.co.jp/contact/,失敗,8,1,"",送信後にエラーまたは画面遷移なし
株式会社toU,https://tooou.co.jp/contact,成功,8,0,"必須お問い合わせ項目選択してくださいSNSマーケティング・プロモーションアナログマーケティング三鷹市起業相談員MAISON DE MEDAKAkeyboard_arrow_down:SNSマーケティング・プロモーション | 必須お名前:森田憲治 | 必須ふりがな:もりたけんじ | 必須会社名:あなたのおかげ | 必須メールアドレス:info@anatano-okage.com | 任意電話番号:09091749043 | 必須お問い合わせ内容:問い合わせ | 個人情報保護法について同意します:checked",
Zokujin合同会社,https://zokujin.com/contact/,失敗,7,0,"",送信後にエラーまたは画面遷移なし
株式会社コロンバスプロジェクト,https://www.columbusproject.co.jp/contact/,成功,6,0,"会社名＊:あなたのおかげ | お名前＊:森田憲治 | 都道府県＊:愛知県 | お電話番号＊:09091749043 | e-mail＊:info@anatano-okage.com | お問合せ内容＊:問い合わせ",
株式会社読売千葉広告社,https://www.yomiuri-adc.co.jp/contactus/,失敗,6,0,"",送信後にエラーまたは画面遷移なし
株式会社TONOSAMA,https://tono-sama.net/contact/,成功,7,0,"会社名:あなたのおかげ | お名前必須:森田憲治 | メールアドレス必須:info@anatano-okage.com | 電話番号:09091749043 | お問い合わせ項目:その他 | お問い合わせ内容:問い合わせ | お問い合わせ内容:checked",
株式会社 オーエス,https://oscorporation.com/inquiry/contact/,成功,12,0,"必須 お問い合わせ種別:その他のお問い合わせ | 必須 会社名:あなたのおかげ | 部署名:あなたのおかげ | 必須 ご担当者名:森田憲治 | 必須 フリガナ:モリタケンジ | 電話番号:090 | 電話番号:9174 | 電話番号:9043 | 必須 メールアドレス:info@anatano-okage.com | 必須 メールアドレス（確認用）:info@anatano-okage.com | 必須 お問い合わせ内容:問い合わせ | 個人情報の取り扱いについて同意する:checked",
株式会社M＆C,https://mandc.tokyo/contact,成功,6,0,"NAME*:森田憲治 | COMPANY:あなたのおかげ | E-MAIL*:info@anatano-okage.com | TEL*:09091749043 | MESSAGE*:問い合わせ | 利用規約に同意します。:checked",
FAST BPO株式会社,https://www.fastbpo.co.jp/contact-6,成功,4,0,"​必須:09091749043 | ​必須:info@anatano-okage.com | ​お問い合わせ内容の詳細:問い合わせ | 下記の規約に同意します:checked",
SugarBeats株式会社,https://sugarbeats.co.jp/contact/,成功,5,0,"会社名*:あなたのおかげ | 担当者名*:森田憲治 | メールアドレス*:info@anatano-okage.com | 電話番号*:09091749043 | ご相談内容:問い合わせ",
株式会社バースタイプ,https://verse-type.co.jp/contact/,成功,6,1,"会社名必須:あなたのおかげ | お名前必須:森田憲治 | 電話番号必須:09091749043 | メールアドレス必須:info@anatano-okage.com | お問い合わせ種別:その他 | お問い合わせの内容:問い合わせ",
株式会社Experience,https://ai-cmo.co.jp/service-contact/,失敗,0,0,"",送信ボタンが見つかりませんでした
株式会社日テレWands,https://ad.ntv-wands.co.jp/movie#contact,成功,0,0,"",
株式会社Leading Communication,https://www.le-commu.co.jp/contact/,失敗,0,0,"",iframeフォーム（非対応）
株式会社AppleTea,https://appletea.tokyo/#contact,成功,3,0,"お名前*:森田憲治 | メールアドレス*:info@anatano-okage.com | お問いわせ内容*:問い合わせ",
